epoch,train_mae,val_mae,train_loss,val_loss,train_rmse,val_rmse,train_r2,val_r2,train_mse,val_mse,train_mape,val_mape,train_ccc,val_ccc
1,2677.713480522605,2732.34580021923,7835675.536290322,8314998.812903225,2799.2276648711695,2875.172802480447,-10.772969038126966,-9.32104362971375,7835675.5197801,8266618.644123267,99.92888229723916,99.90317249051569,5.129837803216483e-06,5.224770612156959e-06
2,2673.759485273015,2728.7125439335227,7814227.692540322,8295062.469354839,2795.39400762996,2871.7178388795323,-10.740743990868731,-9.296253881256806,7814227.657893488,8246763.346138933,99.76766751947456,99.75511005646322,4.216091874359669e-05,7.285022954256916e-06
3,2668.805188893503,2725.11845384678,7787770.980241936,8274211.958064516,2790.6578076871315,2868.0838249425865,-10.700993312309537,-9.270211590398599,7787770.999605148,8225904.826897297,99.56334923840299,99.62026896138697,4.1150049860811806e-05,0.0001609989137079324
4,2662.673622475901,2720.7470624624334,7754889.939919354,8249770.2709677415,2784.7603001114458,2863.8202209877236,-10.651590063758261,-9.239699533986034,7754889.929076789,8201466.258138175,99.31224195205378,99.44766057395074,6.66446194695144e-05,0.00023938484500713345
5,2655.7447834184095,2717.037221028967,7717556.449596774,8229910.279032258,2778.049038933171,2860.3899387691677,-10.595497166288967,-9.215184012662716,7717556.4627175145,8181830.601811883,99.03229087417293,99.29078919117164,0.00013046456774793705,0.00017482798653762263
6,2647.9101748112707,2707.99033427007,7674559.954435484,8177878.712903226,2770.299610128781,2851.3129075840666,-10.530895607869544,-9.150454081785973,7674559.929879675,8129985.2969555035,98.72090774947729,98.9439606782907,0.0003218697360436161,0.0005235525079174517
7,2639.1251015232456,2700.97414795712,7627524.433266129,8138283.00483871,2761.7973162371263,2844.374906830342,-10.460225549174664,-9.101116685025366,7627524.415974594,8090468.610606116,98.36084941305032,98.67015247357843,0.00040384900913461127,0.000725063361512899
8,2629.6751024430796,2696.433076377054,7577254.726612903,8116155.143548387,2752.6813732604414,2840.490529056104,-10.384696221092666,-9.073546647300693,7577254.742694989,8068386.4456574265,97.97663878066034,98.46881632227831,0.00047553636107086877,0.00042940933650517107
9,2619.3585712694353,2684.099290520628,7522278.749798387,8045634.341935484,2742.6772978480053,2828.0898171187564,-10.30209574345235,-8.985782601263654,7522278.760130836,7998092.013690802,97.56061605609571,97.9983721901042,0.0005948944788036803,0.000939092868751947
10,2608.396996448886,2673.5024065801626,7462732.511491936,7984296.7935483875,2731.800234698285,2817.2562754641012,-10.21262853509515,-8.909424215257841,7462732.522297604,7936932.921641859,97.12352045392544,97.59784361884176,0.0009130985524573268,0.001531101174148791
11,2596.818108786306,2655.5265986124673,7400816.6060483875,7884367.767741935,2720.4441895684863,2799.6074326385647,-10.11960089898956,-8.785656939404928,7400816.588556939,7837801.776885094,96.6604665799007,96.89538572709694,0.0011619141538444665,0.0020522410965562797
12,2584.6030304508827,2660.1850784943713,7335065.318548387,7913724.482258065,2708.3325696232805,2804.782710236908,-10.02081071912556,-8.821869373789642,7335065.307682242,7866806.051643893,96.1787346769062,97.05230662945478,0.0015268624108868342,0.0014551336208080815
13,2571.527879933388,2620.4427911085604,7265472.461895161,7705009.035483871,2695.4540329325896,2767.680442425416,-9.916248625987867,-8.563736466920199,7265472.443652562,7660055.031384147,95.6647314056183,95.42525519451571,0.001880496656961174,0.0015065601767030403
14,2558.4672829751044,2633.132409092678,7197474.87358871,7766733.046774194,2682.8109979881274,2778.617652711445,-9.814083400817998,-8.639473010421725,7197474.850926053,7720716.059959658,95.12770818205415,95.98159901930447,0.002097863702578483,0.001963114068411109
15,2544.2603509749138,2631.7234906193507,7120136.835483871,7752735.896774193,2668.35845423425,2776.0585688294254,-9.697884356783069,-8.621725437001725,7120136.840283396,7706501.177571278,94.58384703987319,95.97560833608921,0.0028525038446329293,0.0028058655895212385
16,2529.1324583791916,2612.688397885912,7040298.76391129,7644285.029032258,2653.3561407199845,2756.409803541571,-9.577929075053113,-8.486003541797952,7040298.809496449,7597795.005060081,93.98417746852304,95.279098228625,0.0034041065241858723,0.004110408333213855
17,2513.4263911616417,2595.060841409134,6958263.749395161,7555012.138709677,2637.85210426786,2740.397137658065,-9.454672756020367,-8.37611059062014,6958263.723990376,7509776.472084515,93.3676621436917,94.53824973297029,0.003942671500694478,0.0037402873049557275
18,2497.415121942951,2585.975004720842,6872476.104637097,7504663.858064516,2621.5407858421045,2731.350921343345,-9.325778299545497,-8.314310548410186,6872476.091833638,7460277.85552314,92.75939236472342,94.16138340491564,0.004908683163338471,0.004087958862635327
19,2480.116408209647,2575.6899375792073,6782117.358870967,7442567.167741936,2604.24986674302,2719.931612554838,-9.190015856312861,-8.236590292995379,6782117.368431036,7398027.976975162,92.10669622964748,93.86157262567113,0.005742196681568695,0.005635045294704381
20,2463.0849591931988,2547.15839827948,6693187.891129033,7277665.1193548385,2587.1196132201194,2689.8419221882205,-9.056400833982053,-8.033358094892677,6693187.893108221,7235249.566361221,91.44947045229486,92.80604699770284,0.0068083685143881766,0.00823952525737284
21,2443.8680254505525,2505.7901190847256,6589376.901310484,7063863.975,2566.97816430606,2649.817267282556,-8.900426578615921,-7.766526749889987,6589376.89602411,7021531.549988791,90.74272884078242,91.19908683261461,0.008534589435047263,0.009361169575431422
22,2426.092245612606,2454.7999732748976,6503438.852620968,6791074.587096774,2550.1840824542624,2598.182909085333,-8.771306134482224,-7.42820623359083,6503438.854403089,6750554.429063125,90.01456631268059,89.32928823458587,0.00878445136953947,0.013299420845984834
23,2407.495328666318,2420.9629645239575,6400830.9764112905,6611931.308064516,2529.986358445454,2563.465179522737,-8.617139541321905,-7.204470465926198,6400830.973920087,6571353.726625538,89.34914214032817,88.04383421034747,0.010928813799764863,0.015205713059255756
24,2386.3612033843992,2467.772266128688,6294713.881754032,6848836.237903226,2508.926839373689,2608.9505356469817,-8.457700422736952,-7.498208871115562,6294713.885329648,6806622.897452672,88.55239155087823,89.93038269324215,0.012089524119898502,0.013261642767018663
25,2365.553718569971,2409.668459870669,6179833.23780242,6537087.507258064,2485.927041421534,2548.9939339386005,-8.28509423232632,-7.1121003534842,6179833.255270821,6497370.075255782,87.88877024284507,87.78413837488846,0.015548061290231403,0.018365232139717157
26,2344.3315393693983,2398.310187478667,6060614.079435484,6490544.878225806,2461.8314513420883,2539.459566160948,-8.105969473876316,-7.0515281432238766,6060614.094817094,6448854.88816635,87.21405661159419,87.28883899505091,0.019923113544534816,0.01742958263613335
27,2321.324726636948,2384.635684386812,5940876.917137097,6427055.680645161,2437.3914115352804,2526.828809797631,-7.92606636713834,-6.971633994218806,5940876.893025946,6384863.834023312,86.40450493495176,86.79059197901486,0.02343950650584317,0.01765748198079834
28,2300.3707960713296,2353.1533565829873,5838732.749697581,6249859.597580645,2416.3469851757345,2492.022070430765,-7.772596535769129,-6.753530138064821,5838732.752767861,6210173.999514037,85.64111361340464,85.66845610497712,0.02511334829591869,0.02215831669111661
29,2277.9511435477966,2280.3651406988743,5734429.780846775,5885079.830645162,2394.6669474477962,2417.7441887437512,-7.615883109137064,-6.2982108611871,5734429.789198947,5845486.962204179,84.76652217022927,83.0405176565432,0.026989596383382646,0.029484689677996338
30,2253.640368821544,2270.4323499611664,5615593.07983871,5832940.577419355,2369.724260974466,2407.4859181423903,-7.437332966743984,-6.236410944342479,5615593.073050979,5795988.446053909,83.92775945471378,82.75976597085713,0.030382477330563446,0.03183829685214847
31,2228.8100239599903,2244.6846166814416,5483953.449395161,5720398.21532258,2341.7842426423513,2383.6921166386946,-7.239546658349237,-6.094079173082735,5483953.439088011,5681988.10692546,83.08488445824564,81.61841913567132,0.035919958482447514,0.030663280896168325
32,2202.732465905528,2288.737026942972,5374072.17358871,5880195.195967742,2318.204518327108,2417.496035324639,-7.074451950900283,-6.296712784555126,5374072.188792219,5844287.080810348,82.05606718995143,83.61056624403035,0.036862056368033955,0.036169328320638384
33,2179.171561951791,2297.9458932722273,5252865.510987903,5897615.791129032,2291.913062398627,2421.2651735255176,-6.8923409433208676,-6.319483252876183,5252865.485593453,5862525.040527556,81.28385982130472,84.24013184998489,0.04191195251053346,0.041219390834833565
34,2151.601471128771,2199.0886540335746,5143497.501512097,5465917.05,2267.9280197038474,2330.436732795013,-6.728017411190087,-5.780634655011111,5143497.502557816,5430935.365560295,80.12488345381138,80.23979015943951,0.04283357687157669,0.0428212346629525
35,2126.980627087624,2152.1592739808907,5019293.822983871,5202234.348387097,2240.378056259695,2274.217273357645,-6.541403515650091,-5.4574286813483175,5019293.834969969,5172064.206438282,79.39915466251966,78.92896897170753,0.050760907650295777,0.059215583623515575
36,2101.841476578866,2117.081252508565,4929273.991330645,5095153.731451613,2220.1968364453883,2249.9849234829453,-6.406150235341398,-5.320550808359795,4929273.992562111,5062432.155900556,78.4093757752478,77.07920210202116,0.05120377082441313,0.04936947647743773
37,2070.9584119058422,2096.6655289239484,4776257.954637097,4966545.977419355,2185.465154986048,2221.8550971497193,-6.176246227507636,-5.163496801810589,4776257.943658192,4936640.072730189,77.44617251272743,76.7450300212913,0.05997619988915789,0.06278333678376145
38,2042.4687062755709,2156.7443940492894,4660959.3213205645,5235069.646774193,2158.925504746265,2281.122694568922,-6.003012031435016,-5.496702820938561,4660959.335043915,5203520.747677378,76.44652768649432,78.97960233105043,0.06569730520656933,0.05567903849737465
39,2014.482318238289,2158.105028887011,4540656.772479839,5230989.320967742,2130.8816939811904,2279.987767838573,-5.822259511712262,-5.490239821386506,4540656.793744147,5198344.221493518,75.39750099875117,79.05061744437575,0.06967705671074685,0.05705251943359547
40,1985.6928342450049,2038.2078280155713,4418809.441935484,4706940.485483871,2102.096439946179,2162.15425067269,-5.63918594185641,-4.836722668770732,4418809.442834401,4674911.003701981,74.2616537911035,74.524210072412,0.07255571349991746,0.0684045678738352
41,1954.7532198352199,1958.1311483043683,4298821.161139113,4391464.826612903,2073.3598714818636,2088.339313517931,-5.458905585125169,-4.444999437759908,4298821.15667129,4361161.088384542,73.13127198046058,71.32340375274616,0.07739075582073318,0.07498658776099984
42,1925.6550170590801,2141.801933362646,4197544.876764113,5045516.437903225,2048.791076074292,2240.1221898189356,-5.306739694102739,-5.265260410176811,4197544.873401656,5018147.425319184,71.74719981364444,79.11734967136776,0.07560606459193223,0.08342732988053761
43,1893.532514258354,1942.1722793826007,4074735.8229838707,4319085.091935484,2018.5974890934242,2070.9258626730348,-5.122221187098014,-4.354572637228216,4074735.822974277,4288733.928688054,70.57899166536943,70.58528351742632,0.08054583628504984,0.07685260579467679
44,1866.023669218248,1942.4012659066702,3936913.9442540323,4314458.000806452,1984.1658075245005,2069.6116421482425,-4.915146172491834,-4.347778713311315,3936913.951749353,4283292.3493155455,69.66495742089224,70.71618609190008,0.0920637703583744,0.07866529126153275
45,1828.225976304085,1875.5333526018753,3820351.2743951613,4034647.268548387,1954.5718898865352,2001.1059355706695,-4.740012732167843,-3.9996070411381215,3820351.272734622,4004424.9653761643,68.13888664190426,68.26508862807641,0.09080039976669316,0.09011498473254638
46,1799.516022331484,1804.9795515436956,3708040.184173387,3795242.4217741936,1925.6272200737271,1940.3263943079592,-4.57126724389113,-3.7005133839013107,3708040.19068887,3764866.5164481257,66.9245173669669,65.10972214079337,0.09520684731362301,0.08789551246958101
47,1766.196047290679,1868.1770869381605,3595675.138734879,3986785.670564516,1896.2265512337342,1989.3606666769922,-4.402440659036932,-3.9410900004469367,3595675.1336037815,3957555.8621215266,65.57650538459787,68.23086567723394,0.09846608127523493,0.1002164068079064
48,1732.5861439735659,1774.107695249292,3469460.81078629,3757106.668951613,1862.6488697771028,1929.946226683741,-4.2128057901996385,-3.6503552194299926,3469460.8120819186,3724692.4378908104,64.27431652607744,63.06172110266893,0.10507889027054314,0.06614417109725267
49,1700.912437598936,1740.9642601630449,3381225.3464213707,3638516.410483871,1838.810849797349,1899.142437338469,-4.080233497922378,-3.5030916651413033,3381225.3413324486,3606741.997299901,63.07451531608662,61.90239871951045,0.10859706035707892,0.07156145360419973
50,1668.4458728544173,1583.8291101548277,3255953.2006804436,2979121.2379032257,1804.426004584749,1718.4737880094638,-3.8920142478231705,-2.6870712925642883,3255953.206021681,2953152.160075595,61.85378960585757,57.05872201977928,0.11282050874798517,0.13923902750937267
